,Normal (kWh),Horário Económico (kWh),Autoconsumo (kWh),Injeção na rede (kWh),datetime,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,rain_1h,clouds_all,weather_description
82,0.052,0.0,0.201,Low,2021-10-02 10:00:00,19.53,19.84,18.12,19.59,1016,88,4.74,,96,overcast clouds
83,0.099,0.0,0.27,Medium,2021-10-02 11:00:00,20.55,20.83,18.72,21.45,1016,83,5.41,,99,overcast clouds
84,0.265,0.0,0.29,Low,2021-10-02 12:00:00,20.02,20.38,17.72,20.9,1015,88,5.52,1,100,light rain
85,0.741,0.0,0.214,None,2021-10-02 13:00:00,18.98,19.34,17.72,20.34,1015,92,6.18,,100,overcast clouds
86,0.202,0.0,0.261,Low,2021-10-02 14:00:00,19.03,19.42,17.89,20.34,1014,93,6.23,,100,overcast clouds
87,0.735,0.0,0.244,Low,2021-10-02 15:00:00,19.03,19.42,18.44,19.79,1013,93,6.55,1,100,light rain
88,0.936,0.0,0.144,None,2021-10-02 16:00:00,19.02,19.38,18.44,19.23,1012,92,6.72,1,100,light rain
89,0.418,0.0,0.056,None,2021-10-02 17:00:00,18.99,19.32,17.72,19.54,1011,91,6.66,1,100,light rain
90,0.388,0.0,0.016,None,2021-10-02 18:00:00,18.96,19.29,17.72,19.04,1011,91,6.68,,100,overcast clouds
91,0.52,0.0,0.0,None,2021-10-02 19:00:00,18.43,18.73,17.72,18.48,1011,92,6.86,1,100,light rain
92,0.477,0.0,0.0,None,2021-10-02 20:00:00,18.42,18.75,17.72,18.48,1010,93,7.14,1,100,light rain
93,0.55,0.0,0.0,None,2021-10-02 21:00:00,18.42,18.75,17.72,18.68,1010,93,7.37,2,100,moderate rain
94,0.32,0.0,0.0,None,2021-10-02 22:00:00,18.42,18.75,17.72,18.68,1009,93,7.54,3,100,moderate rain
95,0.352,0.0,0.0,None,2021-10-02 23:00:00,18.4,18.72,17.32,18.68,1008,93,8.4,3,100,moderate rain
96,0.472,0.0,0.0,None,2021-10-03 00:00:00,18.45,18.78,17.72,18.48,1007,93,7.86,4,100,moderate rain
97,0.429,0.0,0.0,None,2021-10-03 01:00:00,17.29,17.5,15.57,17.88,1007,93,5.26,7,100,heavy intensity rain
98,0.281,0.0,0.0,None,2021-10-03 02:00:00,16.72,16.88,15.57,17.01,1008,93,4.84,5,100,heavy intensity rain
99,0.337,0.0,0.0,None,2021-10-03 03:00:00,16.58,16.72,13.72,16.82,1009,93,3.45,2,97,moderate rain
100,0.277,0.0,0.0,None,2021-10-03 04:00:00,13.48,13.31,12.79,13.72,1009,93,3.39,1,72,light rain
101,0.263,0.0,0.0,None,2021-10-03 05:00:00,13.46,13.29,12.23,13.72,1010,93,3.76,,51,broken clouds
102,0.259,0.0,0.0,None,2021-10-03 06:00:00,12.91,12.68,12.01,12.93,1011,93,3.3,,39,scattered clouds
103,0.259,0.0,0.002,None,2021-10-03 07:00:00,12.36,12.08,11.72,12.89,1012,93,2.47,,40,scattered clouds
104,0.047,0.0,0.221,Medium,2021-10-03 08:00:00,13.02,12.81,12.79,14.54,1013,93,2.26,,32,scattered clouds
105,0.015,0.0,0.299,High,2021-10-03 09:00:00,14.65,14.44,13.9,15.72,1014,87,3.25,,23,few clouds
106,0.053,0.0,0.402,High,2021-10-03 10:00:00,16.29,15.85,15.9,17.33,1016,72,2.31,,45,scattered clouds
107,0.236,0.0,0.502,High,2021-10-03 11:00:00,16.88,16.45,16.45,17.89,1016,70,3.08,,46,scattered clouds
108,0.958,0.0,0.621,Medium,2021-10-03 12:00:00,17.89,17.33,15.9,19.0,1017,61,3.73,,33,scattered clouds
109,0.57,0.0,0.417,Medium,2021-10-03 13:00:00,16.89,16.38,16.82,19.0,1017,67,3.61,,28,scattered clouds
110,0.384,0.0,0.21,Medium,2021-10-03 14:00:00,18.6,18.21,17.57,20.1,1017,65,4.55,,29,scattered clouds
111,0.205,0.0,0.278,Medium,2021-10-03 15:00:00,17.92,17.57,16.72,19.54,1018,69,4.75,,36,scattered clouds
112,0.163,0.0,0.173,Medium,2021-10-03 16:00:00,17.92,17.46,17.72,18.12,1019,65,3.84,,18,few clouds
113,0.329,0.0,0.194,None,2021-10-03 17:00:00,16.82,16.36,16.72,17.79,1019,69,2.93,,0,sky is clear
114,0.358,0.0,0.034,None,2021-10-03 18:00:00,15.71,15.27,15.34,16.22,1020,74,1.77,,7,sky is clear
115,0.472,0.0,0.0,None,2021-10-03 19:00:00,14.6,14.13,13.12,16.21,1021,77,2.25,,100,overcast clouds
116,0.516,0.0,0.0,None,2021-10-03 20:00:00,14.03,13.55,12.01,15.66,1021,79,1.69,,100,overcast clouds
117,0.489,0.0,0.0,None,2021-10-03 21:00:00,13.46,13.0,10.9,15.1,1021,82,0.91,,100,overcast clouds
118,0.573,0.0,0.0,None,2021-10-03 22:00:00,12.92,12.46,10.34,14.55,1022,84,1.41,,100,overcast clouds
119,0.591,0.0,0.0,None,2021-10-03 23:00:00,12.93,12.5,12.72,14.0,1022,85,0.35,,100,overcast clouds
120,0.548,0.0,0.0,None,2021-10-04 00:00:00,12.37,11.93,11.72,13.43,1022,87,0.56,,100,overcast clouds
121,0.527,0.0,0.0,None,2021-10-04 01:00:00,12.92,12.51,12.23,12.93,1022,86,0.62,,86,overcast clouds
122,0.334,0.0,0.0,None,2021-10-04 02:00:00,12.92,12.54,11.68,12.93,1022,87,0.72,,100,overcast clouds
123,0.34,0.0,0.0,None,2021-10-04 03:00:00,12.93,12.55,10.34,13.72,1022,87,0.77,,95,overcast clouds
124,0.333,0.0,0.0,None,2021-10-04 04:00:00,12.94,12.54,12.23,13.72,1022,86,0.71,,81,broken clouds
125,0.337,0.0,0.0,None,2021-10-04 05:00:00,12.93,12.58,10.34,13.72,1022,88,0.59,,94,overcast clouds
126,0.319,0.0,0.0,None,2021-10-04 06:00:00,12.92,12.59,11.68,12.93,1022,89,0.93,,97,overcast clouds
127,0.33,0.0,0.002,None,2021-10-04 07:00:00,12.87,12.51,10.9,12.93,1023,88,1.16,,78,broken clouds
128,0.447,0.0,0.048,None,2021-10-04 08:00:00,13.48,13.16,12.79,13.72,1023,87,1.54,,70,broken clouds
129,0.372,0.0,0.129,None,2021-10-04 09:00:00,14.03,13.84,13.34,14.54,1023,90,2.07,,69,broken clouds
130,0.024,0.0,0.337,Medium,2021-10-04 10:00:00,15.44,15.13,14.79,15.72,1023,80,2.08,,96,overcast clouds
131,0.013,0.0,0.298,Medium,2021-10-04 11:00:00,17.63,17.46,16.12,17.88,1022,77,2.52,,89,overcast clouds
132,0.001,0.0,0.311,Medium,2021-10-04 12:00:00,17.42,17.33,16.72,19.55,1023,81,3.09,,99,overcast clouds
133,0.182,0.0,0.237,None,2021-10-04 13:00:00,17.51,17.46,17.01,20.66,1023,82,3.3,,99,overcast clouds
134,0.029,0.0,0.484,Medium,2021-10-04 14:00:00,19.92,19.85,17.01,20.66,1022,72,3.33,,71,broken clouds
135,0.084,0.0,0.424,Medium,2021-10-04 15:00:00,18.06,18.01,17.57,20.66,1022,80,3.06,,57,broken clouds
136,0.052,0.0,0.403,Medium,2021-10-04 16:00:00,17.98,17.84,17.57,19.0,1022,77,3.39,,41,scattered clouds
137,0.25,0.0,0.237,Medium,2021-10-04 17:00:00,18.43,18.21,17.01,18.48,1022,72,3.12,,69,broken clouds
138,0.364,0.0,0.039,None,2021-10-04 18:00:00,16.81,16.64,16.12,16.82,1022,80,2.29,,93,overcast clouds
139,0.638,0.0,0.0,None,2021-10-04 19:00:00,16.29,16.14,15.9,16.78,1022,83,2.09,1,100,light rain
140,0.664,0.0,0.0,None,2021-10-04 20:00:00,15.79,15.64,15.34,16.78,1022,85,2.21,,99,overcast clouds
141,0.699,0.0,0.0,None,2021-10-04 21:00:00,15.78,15.69,14.79,16.77,1023,87,2.61,,100,overcast clouds
142,0.734,0.0,0.0,None,2021-10-04 22:00:00,15.21,15.16,14.79,16.21,1023,91,1.97,,99,overcast clouds
143,0.5,0.0,0.0,None,2021-10-04 23:00:00,15.19,15.17,14.45,15.72,1022,92,2.66,,100,overcast clouds
144,0.546,0.0,0.0,None,2021-10-05 00:00:00,15.15,15.12,14.45,15.72,1022,92,3.17,,100,overcast clouds
145,0.492,0.0,0.0,None,2021-10-05 01:00:00,14.64,14.59,14.45,15.72,1021,93,3.35,1,100,light rain
146,0.32,0.0,0.0,None,2021-10-05 02:00:00,15.15,15.15,14.45,15.72,1021,93,3.29,1,100,light rain
147,0.319,0.0,0.0,None,2021-10-05 03:00:00,15.18,15.18,15.01,15.72,1020,93,2.93,1,100,light rain
148,0.317,0.0,0.0,None,2021-10-05 04:00:00,15.18,15.18,15.1,15.72,1020,93,2.4,1,100,light rain
149,0.316,0.0,0.0,None,2021-10-05 05:00:00,15.7,15.75,15.57,15.72,1020,93,1.87,1,100,light rain
150,0.31,0.0,0.0,None,2021-10-05 06:00:00,15.71,15.76,15.66,16.22,1020,93,1.53,,100,overcast clouds
151,0.312,0.0,0.001,None,2021-10-05 07:00:00,16.27,16.38,15.66,16.78,1021,93,1.43,,100,overcast clouds
152,0.255,0.0,0.067,None,2021-10-05 08:00:00,16.85,17.02,16.21,17.72,1022,93,1.81,,100,overcast clouds
153,0.151,0.0,0.188,Low,2021-10-05 09:00:00,17.37,17.59,16.77,18.12,1022,93,2.59,,100,overcast clouds
154,0.271,0.0,0.216,None,2021-10-05 10:00:00,17.91,18.18,17.23,18.68,1023,93,3.38,,100,overcast clouds
155,0.188,0.0,0.281,Low,2021-10-05 11:00:00,18.48,18.81,17.89,19.23,1023,93,3.09,,97,overcast clouds
156,0.007,0.0,0.467,High,2021-10-05 12:00:00,18.58,18.92,18.34,20.34,1023,93,3.17,,97,overcast clouds
157,0.228,0.0,0.588,High,2021-10-05 13:00:00,20.18,20.58,18.44,21.21,1023,89,3.5,,100,overcast clouds
158,0.2,0.0,0.406,Medium,2021-10-05 14:00:00,20.71,20.98,20.67,21.21,1023,82,3.64,,98,overcast clouds
159,0.065,0.0,0.424,High,2021-10-05 15:00:00,21.72,21.93,19.72,21.82,1023,76,3.36,,97,overcast clouds
160,0.458,0.0,0.181,Low,2021-10-05 16:00:00,20.66,20.87,19.72,21.21,1023,80,2.89,,83,broken clouds
161,0.339,0.0,0.202,None,2021-10-05 17:00:00,20.6,20.83,18.72,20.7,1023,81,2.52,,43,scattered clouds
162,0.444,0.0,0.041,None,2021-10-05 18:00:00,19.74,19.88,17.72,20.15,1023,81,1.78,,19,few clouds
163,0.547,0.0,0.0,None,2021-10-05 19:00:00,18.89,19.03,16.72,19.04,1024,84,1.76,,21,few clouds
164,0.969,0.0,0.0,None,2021-10-05 20:00:00,17.79,17.95,15.72,17.93,1024,89,1.51,,13,few clouds
165,1.157,0.0,0.0,None,2021-10-05 21:00:00,16.8,16.89,15.57,16.82,1024,90,1.42,,5,sky is clear
166,0.966,0.0,0.0,None,2021-10-05 22:00:00,16.69,16.76,14.72,16.82,1025,90,1.16,,22,few clouds
167,0.918,0.0,0.0,None,2021-10-05 23:00:00,15.65,15.67,14.72,15.7,1025,92,1.19,,38,scattered clouds
168,0.935,0.0,0.0,None,2021-10-06 00:00:00,15.59,15.61,13.72,15.7,1025,92,1.36,,87,overcast clouds
169,0.698,0.0,0.0,None,2021-10-06 01:00:00,15.67,15.72,14.23,15.7,1025,93,1.49,,84,broken clouds
170,0.541,0.0,0.0,None,2021-10-06 02:00:00,15.13,15.13,14.23,15.67,1024,93,1.38,,86,overcast clouds
171,0.41,0.0,0.0,None,2021-10-06 03:00:00,14.99,14.97,12.72,15.15,1024,93,1.78,,79,broken clouds
172,0.401,0.0,0.0,None,2021-10-06 04:00:00,15.01,14.99,12.79,15.15,1024,93,1.69,,35,scattered clouds
173,0.409,0.0,0.0,None,2021-10-06 05:00:00,15.47,15.37,12.72,15.7,1024,88,1.74,,30,scattered clouds
174,0.401,0.0,0.0,None,2021-10-06 06:00:00,15.47,15.29,12.57,15.7,1024,85,2.0,,30,scattered clouds
175,0.402,0.0,0.001,None,2021-10-06 07:00:00,15.47,15.27,12.01,15.7,1024,84,1.96,,11,few clouds
176,0.401,0.0,0.252,Low,2021-10-06 08:00:00,17.67,17.5,13.99,17.93,1024,77,2.25,,2,sky is clear
177,0.001,0.0,0.401,Medium,2021-10-06 09:00:00,19.54,19.4,17.72,19.59,1025,71,1.72,,0,sky is clear
178,0.0,0.0,0.33,High,2021-10-06 10:00:00,21.21,21.08,18.9,21.26,1025,65,0.97,,0,sky is clear
179,0.0,0.0,0.312,Very High,2021-10-06 11:00:00,22.31,22.35,21.12,22.37,1024,67,1.05,,0,sky is clear
180,0.0,0.0,0.318,Very High,2021-10-06 12:00:00,23.47,23.49,22.89,23.48,1024,62,0.87,,0,sky is clear
181,0.005,0.0,0.323,Very High,2021-10-06 13:00:00,24.59,24.65,24.23,24.59,1023,59,0.53,,0,sky is clear
182,0.01,0.0,0.424,High,2021-10-06 14:00:00,25.12,25.18,24.0,25.57,1023,57,0.28,,0,sky is clear
183,0.0,0.0,0.407,High,2021-10-06 15:00:00,26.03,26.03,22.72,26.68,1022,56,0.99,,0,sky is clear
184,0.0,0.0,0.42,Medium,2021-10-06 16:00:00,26.53,26.53,22.72,26.82,1022,55,1.37,,0,sky is clear
185,0.344,0.0,0.256,None,2021-10-06 17:00:00,24.95,25.09,21.72,25.15,1022,61,1.31,,0,sky is clear
186,1.276,0.0,0.018,None,2021-10-06 18:00:00,23.44,23.59,21.78,23.48,1022,67,1.58,,0,sky is clear
187,0.697,0.0,0.0,None,2021-10-06 19:00:00,22.32,22.51,20.57,22.37,1022,73,1.83,,0,sky is clear
188,0.47,0.0,0.0,None,2021-10-06 20:00:00,21.22,21.25,19.23,21.26,1022,71,2.01,,0,sky is clear
189,0.516,0.0,0.0,None,2021-10-06 21:00:00,17.67,17.74,15.72,20.11,1022,86,2.2,,0,sky is clear
190,0.395,0.0,0.0,None,2021-10-06 22:00:00,20.41,20.26,15.72,20.7,1022,67,2.09,,0,sky is clear
191,0.486,0.0,0.0,None,2021-10-06 23:00:00,19.95,19.78,16.45,20.67,1022,68,1.82,,0,sky is clear
192,0.601,0.0,0.0,None,2021-10-07 00:00:00,19.41,19.21,15.34,20.11,1022,69,1.8,,0,sky is clear
193,0.369,0.0,0.0,None,2021-10-07 01:00:00,16.98,16.98,14.79,19.0,1022,86,1.93,,0,sky is clear
194,0.311,0.0,0.0,None,2021-10-07 02:00:00,17.99,18.06,14.23,19.0,1022,85,2.09,,0,sky is clear
195,0.309,0.0,0.0,None,2021-10-07 03:00:00,18.3,18.43,17.32,19.0,1022,86,2.23,,0,sky is clear
196,0.311,0.0,0.0,None,2021-10-07 04:00:00,17.6,17.66,17.32,18.34,1021,86,2.3,,7,sky is clear
197,0.309,0.0,0.0,None,2021-10-07 05:00:00,15.62,15.51,14.72,18.9,1021,87,2.33,,1,sky is clear
198,0.409,0.0,0.0,None,2021-10-07 06:00:00,16.26,16.19,15.72,18.34,1021,86,2.3,,0,sky is clear
199,0.412,0.0,0.001,None,2021-10-07 07:00:00,15.58,15.44,14.72,17.79,1021,86,2.34,,0,sky is clear
200,0.241,0.0,0.244,Low,2021-10-07 08:00:00,18.64,18.67,18.43,19.0,1022,81,2.77,,0,sky is clear
201,0.026,0.0,0.327,High,2021-10-07 09:00:00,21.53,21.07,20.11,22.32,1022,51,2.18,,0,sky is clear
202,0.0,0.0,0.331,High,2021-10-07 10:00:00,23.48,23.16,21.68,23.72,1022,49,1.83,,0,sky is clear
203,0.0,0.0,0.325,Very High,2021-10-07 11:00:00,24.86,24.63,23.34,25.15,1022,47,1.76,,0,sky is clear
204,0.0,0.0,0.325,Very High,2021-10-07 12:00:00,26.24,26.24,25.01,26.26,1021,35,1.02,,0,sky is clear
205,0.236,0.0,0.499,High,2021-10-07 13:00:00,27.36,27.03,25.9,27.72,1021,38,0.78,,0,sky is clear
206,0.507,0.0,0.64,High,2021-10-07 14:00:00,27.22,26.87,24.72,27.79,1020,37,1.25,,0,sky is clear
207,0.0,0.0,0.385,High,2021-10-07 15:00:00,27.89,27.44,26.77,27.93,1020,38,2.02,,0,sky is clear
208,0.0,0.0,0.33,Medium,2021-10-07 16:00:00,27.14,27.13,23.72,27.37,1020,43,2.49,,0,sky is clear
209,0.092,0.0,0.238,Low,2021-10-07 17:00:00,25.64,25.64,23.44,25.7,1019,53,2.15,,1,sky is clear
210,0.437,0.0,0.017,None,2021-10-07 18:00:00,23.99,24.14,21.78,24.04,1020,65,2.01,,3,sky is clear
211,0.684,0.0,0.0,None,2021-10-07 19:00:00,22.32,22.44,20.11,22.37,1020,70,2.03,,0,sky is clear
212,0.75,0.0,0.0,None,2021-10-07 20:00:00,21.22,21.3,18.9,21.26,1020,73,1.98,,0,sky is clear
213,0.682,0.0,0.0,None,2021-10-07 21:00:00,20.66,20.77,18.12,20.7,1020,76,1.92,,0,sky is clear
214,0.573,0.0,0.0,None,2021-10-07 22:00:00,20.1,20.18,17.01,20.15,1020,77,1.98,,3,sky is clear
215,0.577,0.0,0.0,None,2021-10-07 23:00:00,19.57,19.62,14.72,20.15,1020,78,1.78,,0,sky is clear
